datetime,power_watts,time_seconds
2025-12-02 20:18:19.376,33.82,0.0
2025-12-02 20:18:19.484,33.82,0.108
2025-12-02 20:18:19.586,33.82,0.21
2025-12-02 20:18:19.688,33.82,0.312
2025-12-02 20:18:19.790,33.82,0.414
2025-12-02 20:18:19.892,33.82,0.516
2025-12-02 20:18:19.994,33.82,0.618
2025-12-02 20:18:20.096,33.82,0.72
2025-12-02 20:18:20.198,33.82,0.822
2025-12-02 20:18:20.300,33.82,0.924
2025-12-02 20:18:20.402,33.91,1.026
2025-12-02 20:18:20.508,33.91,1.132
2025-12-02 20:18:20.610,33.91,1.234
2025-12-02 20:18:20.712,33.91,1.336
2025-12-02 20:18:20.813,33.91,1.437
2025-12-02 20:18:20.915,33.91,1.539
2025-12-02 20:18:21.017,33.91,1.641
2025-12-02 20:18:21.118,33.91,1.742
2025-12-02 20:18:21.220,33.91,1.844
2025-12-02 20:18:21.322,33.91,1.946
2025-12-02 20:18:21.423,33.82,2.047
2025-12-02 20:18:21.529,33.82,2.153
2025-12-02 20:18:21.631,33.82,2.255
2025-12-02 20:18:21.733,33.82,2.357
2025-12-02 20:18:21.835,33.82,2.459
2025-12-02 20:18:21.937,33.82,2.561
2025-12-02 20:18:22.038,34.21,2.662
2025-12-02 20:18:22.142,34.21,2.766
2025-12-02 20:18:22.244,34.21,2.868
2025-12-02 20:18:22.345,34.21,2.969
2025-12-02 20:18:22.447,34.21,3.071
2025-12-02 20:18:22.551,34.21,3.175
2025-12-02 20:18:22.652,34.21,3.276
2025-12-02 20:18:22.754,34.21,3.378
2025-12-02 20:18:22.856,34.21,3.48
2025-12-02 20:18:22.958,34.21,3.582
2025-12-02 20:18:23.059,33.92,3.683
2025-12-02 20:18:23.163,33.92,3.787
2025-12-02 20:18:23.265,33.92,3.889
2025-12-02 20:18:23.367,33.92,3.991
2025-12-02 20:18:23.469,33.92,4.093
2025-12-02 20:18:23.573,33.92,4.197
2025-12-02 20:18:23.674,33.92,4.298
2025-12-02 20:18:23.776,33.92,4.4
2025-12-02 20:18:23.878,33.92,4.502
2025-12-02 20:18:23.996,33.92,4.62
2025-12-02 20:18:24.098,34.11,4.722
2025-12-02 20:18:24.205,34.11,4.829
2025-12-02 20:18:24.306,34.11,4.93
2025-12-02 20:18:24.408,34.11,5.032
2025-12-02 20:18:24.510,34.11,5.134
2025-12-02 20:18:24.612,34.11,5.236
2025-12-02 20:18:24.714,34.11,5.338
2025-12-02 20:18:24.816,34.11,5.44
2025-12-02 20:18:24.918,34.11,5.542
2025-12-02 20:18:25.019,34.11,5.643
2025-12-02 20:18:25.121,33.92,5.745
2025-12-02 20:18:25.227,33.92,5.851
2025-12-02 20:18:25.329,33.92,5.953
2025-12-02 20:18:25.431,33.92,6.055
2025-12-02 20:18:25.571,33.92,6.195
2025-12-02 20:18:25.673,33.92,6.297
2025-12-02 20:18:25.774,33.92,6.398
2025-12-02 20:18:25.876,33.92,6.5
2025-12-02 20:18:25.978,33.92,6.602
2025-12-02 20:18:26.080,33.92,6.704
2025-12-02 20:18:26.182,34.010000000000005,6.806
2025-12-02 20:18:26.288,34.010000000000005,6.912
2025-12-02 20:18:26.390,34.010000000000005,7.014
2025-12-02 20:18:26.492,34.010000000000005,7.116
2025-12-02 20:18:26.594,34.010000000000005,7.218
2025-12-02 20:18:26.696,34.010000000000005,7.32
2025-12-02 20:18:26.798,34.010000000000005,7.422
2025-12-02 20:18:26.899,34.010000000000005,7.523
2025-12-02 20:18:27.001,34.39,7.625
2025-12-02 20:18:27.105,34.39,7.729
2025-12-02 20:18:27.207,34.29,7.831
2025-12-02 20:18:27.311,34.29,7.935
2025-12-02 20:18:27.413,34.29,8.037
2025-12-02 20:18:27.515,34.29,8.139
2025-12-02 20:18:27.616,34.29,8.24
2025-12-02 20:18:27.718,34.29,8.342
2025-12-02 20:18:27.819,34.29,8.443
2025-12-02 20:18:27.921,34.29,8.545
2025-12-02 20:18:28.023,33.91,8.647
2025-12-02 20:18:28.127,33.91,8.751
2025-12-02 20:18:28.229,33.91,8.853
2025-12-02 20:18:28.333,33.91,8.957
2025-12-02 20:18:28.435,33.91,9.059
2025-12-02 20:18:28.537,33.91,9.161
2025-12-02 20:18:28.639,33.91,9.263
2025-12-02 20:18:28.741,33.91,9.365
2025-12-02 20:18:28.843,33.91,9.467
2025-12-02 20:18:28.945,33.91,9.569
2025-12-02 20:18:29.047,34.2,9.671
2025-12-02 20:18:29.153,34.2,9.777
2025-12-02 20:18:29.255,34.2,9.879
2025-12-02 20:18:29.356,34.2,9.98
2025-12-02 20:18:29.459,34.2,10.083
2025-12-02 20:18:29.561,34.2,10.185
2025-12-02 20:18:29.663,34.2,10.287
2025-12-02 20:18:29.765,34.2,10.389
2025-12-02 20:18:29.866,34.2,10.49
2025-12-02 20:18:29.968,34.2,10.592
2025-12-02 20:18:30.070,33.92,10.694
2025-12-02 20:18:30.177,33.92,10.801
2025-12-02 20:18:30.279,33.92,10.903
2025-12-02 20:18:30.381,33.92,11.005
2025-12-02 20:18:30.482,33.92,11.106
2025-12-02 20:18:30.584,33.92,11.208
2025-12-02 20:18:30.686,33.92,11.31
2025-12-02 20:18:30.788,33.92,11.412
2025-12-02 20:18:30.890,33.92,11.514
2025-12-02 20:18:30.992,33.92,11.616
2025-12-02 20:18:31.094,33.81,11.718
2025-12-02 20:18:31.200,33.81,11.824
2025-12-02 20:18:31.302,33.81,11.926
2025-12-02 20:18:31.404,33.81,12.028
2025-12-02 20:18:31.506,33.81,12.13
2025-12-02 20:18:31.608,33.81,12.232
2025-12-02 20:18:31.710,33.81,12.334
2025-12-02 20:18:31.812,33.81,12.436
2025-12-02 20:18:31.914,33.81,12.538
2025-12-02 20:18:32.023,34.489999999999995,12.647
2025-12-02 20:18:32.128,34.59,12.752
2025-12-02 20:18:32.243,84.74,12.867
2025-12-02 20:18:32.348,117.19,12.972
2025-12-02 20:18:32.452,128.99,13.076
2025-12-02 20:18:32.557,133.82999999999998,13.181
2025-12-02 20:18:32.662,135.44,13.286
2025-12-02 20:18:32.766,135.72,13.39
2025-12-02 20:18:32.871,136.1,13.495
2025-12-02 20:18:32.975,136.19,13.599
2025-12-02 20:18:33.080,136.28,13.704
2025-12-02 20:18:33.191,136.38,13.815
2025-12-02 20:18:33.295,136.19,13.919
2025-12-02 20:18:33.400,136.76999999999998,14.024
2025-12-02 20:18:33.504,136.85000000000002,14.128
2025-12-02 20:18:33.609,137.05,14.233
2025-12-02 20:18:33.713,137.14999999999998,14.337
2025-12-02 20:18:33.818,136.67000000000002,14.442
2025-12-02 20:18:33.925,144.35000000000002,14.549
2025-12-02 20:18:34.030,148.67000000000002,14.654
2025-12-02 20:18:34.134,148.8,14.758
2025-12-02 20:18:34.239,148.72,14.863
2025-12-02 20:18:34.343,148.74,14.967
2025-12-02 20:18:34.448,148.75,15.072
2025-12-02 20:18:34.552,149.22,15.176
2025-12-02 20:18:34.656,272.05,15.28
2025-12-02 20:18:34.761,217.82999999999998,15.385
2025-12-02 20:18:34.866,215.37,15.49
2025-12-02 20:18:34.971,213.57,15.595
2025-12-02 20:18:35.075,306.23,15.699
2025-12-02 20:18:35.180,266.48,15.804
2025-12-02 20:18:35.285,326.0,15.909
2025-12-02 20:18:35.389,332.09000000000003,16.013
2025-12-02 20:18:35.494,297.72,16.118
2025-12-02 20:18:35.599,341.96000000000004,16.223
2025-12-02 20:18:35.704,281.63,16.328
2025-12-02 20:18:35.808,350.02,16.432
2025-12-02 20:18:35.912,302.82000000000005,16.536
2025-12-02 20:18:36.017,361.51,16.641
2025-12-02 20:18:36.121,314.25,16.745
2025-12-02 20:18:36.227,344.98,16.851
2025-12-02 20:18:36.331,340.69,16.955
2025-12-02 20:18:36.436,309.53999999999996,17.06
2025-12-02 20:18:36.540,347.94,17.164
2025-12-02 20:18:36.646,287.35,17.27
2025-12-02 20:18:36.750,350.56,17.374
2025-12-02 20:18:36.855,296.26,17.479
2025-12-02 20:18:36.960,333.64,17.584
2025-12-02 20:18:37.064,339.57,17.688
2025-12-02 20:18:37.169,303.21,17.793
2025-12-02 20:18:37.274,356.39,17.898
2025-12-02 20:18:37.378,314.26,18.002
2025-12-02 20:18:37.483,350.86,18.107
2025-12-02 20:18:37.588,287.95,18.212
2025-12-02 20:18:37.693,327.08000000000004,18.317
2025-12-02 20:18:37.797,338.88,18.421
2025-12-02 20:18:37.904,300.48,18.528
2025-12-02 20:18:38.008,348.53999999999996,18.632
2025-12-02 20:18:38.114,288.64,18.738
2025-12-02 20:18:38.218,354.40999999999997,18.842
2025-12-02 20:18:38.322,305.7,18.946
2025-12-02 20:18:38.427,323.45,19.051
2025-12-02 20:18:38.532,350.86,19.156
2025-12-02 20:18:38.636,327.08,19.26
2025-12-02 20:18:38.741,354.17,19.365
2025-12-02 20:18:38.846,306.41999999999996,19.47
2025-12-02 20:18:38.950,351.56,19.574
2025-12-02 20:18:39.055,285.3,19.679
2025-12-02 20:18:39.160,353.34000000000003,19.784
2025-12-02 20:18:39.301,280.64,19.925
2025-12-02 20:18:39.406,354.65999999999997,20.03
2025-12-02 20:18:39.510,318.79,20.134
2025-12-02 20:18:39.615,362.07,20.239
2025-12-02 20:18:39.720,332.83,20.344
2025-12-02 20:18:39.826,319.20000000000005,20.45
2025-12-02 20:18:39.931,339.8,20.555
2025-12-02 20:18:40.036,279.29,20.66
2025-12-02 20:18:40.140,348.84,20.764
2025-12-02 20:18:40.245,299.72,20.869
2025-12-02 20:18:40.349,356.95,20.973
2025-12-02 20:18:40.454,332.53999999999996,21.078
2025-12-02 20:18:40.559,320.62,21.183
2025-12-02 20:18:40.663,357.37,21.287
2025-12-02 20:18:40.768,310.12,21.392
2025-12-02 20:18:40.872,354.93,21.496
2025-12-02 20:18:40.977,307.17,21.601
2025-12-02 20:18:41.081,363.38,21.705
2025-12-02 20:18:41.186,293.53,21.81
2025-12-02 20:18:41.290,360.39,21.914
2025-12-02 20:18:41.395,318.51,22.019
2025-12-02 20:18:41.499,335.22,22.123
2025-12-02 20:18:41.605,345.31,22.229
2025-12-02 20:18:41.710,299.25,22.334
2025-12-02 20:18:41.814,351.03,22.438
2025-12-02 20:18:41.918,281.45,22.542
2025-12-02 20:18:42.023,355.69,22.647
2025-12-02 20:18:42.127,321.22,22.751
2025-12-02 20:18:42.232,307.08,22.856
2025-12-02 20:18:42.336,349.03999999999996,22.96
2025-12-02 20:18:42.441,280.03999999999996,23.065
2025-12-02 20:18:42.545,352.44,23.169
2025-12-02 20:18:42.650,305.32,23.274
2025-12-02 20:18:42.754,331.9,23.378
2025-12-02 20:18:42.859,348.84000000000003,23.483
2025-12-02 20:18:42.963,309.81,23.587
2025-12-02 20:18:43.068,356.13,23.692
2025-12-02 20:18:43.172,290.77,23.796
2025-12-02 20:18:43.277,358.83,23.901
2025-12-02 20:18:43.381,302.51,24.005
2025-12-02 20:18:43.485,355.33,24.109
2025-12-02 20:18:43.590,335.59000000000003,24.214
2025-12-02 20:18:43.695,344.03,24.319
2025-12-02 20:18:43.799,350.97,24.423
2025-12-02 20:18:43.906,309.34000000000003,24.53
2025-12-02 20:18:44.010,360.84000000000003,24.634
2025-12-02 20:18:44.115,313.82,24.739
2025-12-02 20:18:44.219,356.77,24.843
2025-12-02 20:18:44.324,288.43,24.948
2025-12-02 20:18:44.428,357.98,25.052
2025-12-02 20:18:44.533,320.53,25.157
2025-12-02 20:18:44.638,304.74,25.262
2025-12-02 20:18:44.742,356.03,25.366
2025-12-02 20:18:44.847,311.51,25.471
2025-12-02 20:18:44.951,360.59000000000003,25.575
2025-12-02 20:18:45.056,304.26,25.68
2025-12-02 20:18:45.160,363.3,25.784
2025-12-02 20:18:45.265,302.04,25.889
2025-12-02 20:18:45.370,363.85,25.994
2025-12-02 20:18:45.475,324.6,26.099
2025-12-02 20:18:45.579,313.54999999999995,26.203
2025-12-02 20:18:45.684,351.44,26.308
2025-12-02 20:18:45.788,310.78,26.412
2025-12-02 20:18:45.893,356.04999999999995,26.517
2025-12-02 20:18:45.997,306.56,26.621
2025-12-02 20:18:46.101,363.68,26.725
2025-12-02 20:18:46.206,300.95,26.83
2025-12-02 20:18:46.311,359.62,26.935
2025-12-02 20:18:46.416,333.98,27.04
2025-12-02 20:18:46.520,327.39,27.144
2025-12-02 20:18:46.625,357.92999999999995,27.249
2025-12-02 20:18:46.729,316.35,27.353
2025-12-02 20:18:46.834,359.90999999999997,27.458
2025-12-02 20:18:46.938,313.97,27.562
2025-12-02 20:18:47.043,355.65,27.667
2025-12-02 20:18:47.147,293.96000000000004,27.771
2025-12-02 20:18:47.252,357.05,27.876
2025-12-02 20:18:47.357,330.07,27.981
2025-12-02 20:18:47.461,352.49,28.085
2025-12-02 20:18:47.566,348.81,28.19
2025-12-02 20:18:47.670,309.27,28.294
2025-12-02 20:18:47.774,355.16999999999996,28.398
2025-12-02 20:18:47.879,286.22,28.503
2025-12-02 20:18:47.983,356.49,28.607
2025-12-02 20:18:48.087,312.09000000000003,28.711
2025-12-02 20:18:48.192,321.9,28.816
2025-12-02 20:18:48.296,351.9,28.92
2025-12-02 20:18:48.401,302.94,29.025
2025-12-02 20:18:48.507,361.48,29.131
2025-12-02 20:18:48.612,295.11,29.236
2025-12-02 20:18:48.716,357.39,29.34
2025-12-02 20:18:48.821,310.09,29.445
2025-12-02 20:18:48.925,324.96000000000004,29.549
2025-12-02 20:18:49.030,349.59000000000003,29.654
2025-12-02 20:18:49.134,304.90999999999997,29.758
2025-12-02 20:18:49.238,355.06,29.862
2025-12-02 20:18:49.343,286.57,29.967
2025-12-02 20:18:49.447,357.73,30.071
2025-12-02 20:18:49.552,320.15,30.176
2025-12-02 20:18:49.656,315.77,30.28
2025-12-02 20:18:49.760,361.78,30.384
2025-12-02 20:18:49.865,320.62,30.489
2025-12-02 20:18:49.970,364.13,30.594
2025-12-02 20:18:50.074,315.96,30.698
2025-12-02 20:18:50.179,365.37,30.803
2025-12-02 20:18:50.283,302.78999999999996,30.907
2025-12-02 20:18:50.388,361.37,31.012
2025-12-02 20:18:50.492,309.11,31.116
2025-12-02 20:18:50.597,327.23,31.221
2025-12-02 20:18:50.701,352.37,31.325
2025-12-02 20:18:50.808,303.1,31.432
2025-12-02 20:18:50.912,360.09000000000003,31.536
2025-12-02 20:18:51.017,314.45000000000005,31.641
2025-12-02 20:18:51.121,366.02,31.745
2025-12-02 20:18:51.226,299.39,31.85
2025-12-02 20:18:51.330,363.4,31.954
2025-12-02 20:18:51.435,319.48,32.059
2025-12-02 20:18:51.539,317.38,32.163
2025-12-02 20:18:51.644,351.9,32.268
