datetime,power_watts,time_seconds
2025-12-05 18:58:24.797,,0.0
2025-12-05 18:58:24.910,33.53,0.113
2025-12-05 18:58:25.012,33.53,0.215
2025-12-05 18:58:25.113,33.53,0.316
2025-12-05 18:58:25.215,33.53,0.418
2025-12-05 18:58:25.317,33.53,0.52
2025-12-05 18:58:25.419,33.53,0.622
2025-12-05 18:58:25.521,33.53,0.724
2025-12-05 18:58:25.623,33.53,0.826
2025-12-05 18:58:25.725,33.53,0.928
2025-12-05 18:58:25.827,33.675,1.03
2025-12-05 18:58:25.933,33.82,1.136
2025-12-05 18:58:26.035,33.82,1.238
2025-12-05 18:58:26.137,33.82,1.34
2025-12-05 18:58:26.239,33.82,1.442
2025-12-05 18:58:26.341,33.82,1.544
2025-12-05 18:58:26.443,33.82,1.646
2025-12-05 18:58:26.545,33.82,1.748
2025-12-05 18:58:26.647,33.82,1.85
2025-12-05 18:58:26.749,33.82,1.952
2025-12-05 18:58:26.851,33.870000000000005,2.054
2025-12-05 18:58:26.958,33.92,2.161
2025-12-05 18:58:27.060,33.92,2.263
2025-12-05 18:58:27.162,33.92,2.365
2025-12-05 18:58:27.264,33.92,2.467
2025-12-05 18:58:27.365,33.92,2.568
2025-12-05 18:58:27.468,33.92,2.671
2025-12-05 18:58:27.570,33.92,2.773
2025-12-05 18:58:27.672,33.92,2.875
2025-12-05 18:58:27.774,33.92,2.977
2025-12-05 18:58:27.876,34.055,3.079
2025-12-05 18:58:27.983,34.19,3.186
2025-12-05 18:58:28.085,34.19,3.288
2025-12-05 18:58:28.187,34.19,3.39
2025-12-05 18:58:28.289,34.19,3.492
2025-12-05 18:58:28.391,34.29,3.594
2025-12-05 18:58:28.495,34.39,3.698
2025-12-05 18:58:28.597,34.39,3.8
2025-12-05 18:58:28.699,34.39,3.902
2025-12-05 18:58:28.800,34.39,4.003
2025-12-05 18:58:28.902,34.25,4.105
2025-12-05 18:58:29.006,34.11,4.209
2025-12-05 18:58:29.108,34.11,4.311
2025-12-05 18:58:29.210,34.11,4.413
2025-12-05 18:58:29.312,34.11,4.515
