datetime,power_watts,time_seconds
2025-12-05 02:26:28.173,,0.0
2025-12-05 02:26:28.290,33.629999999999995,0.117
2025-12-05 02:26:28.392,33.629999999999995,0.219
2025-12-05 02:26:28.493,33.629999999999995,0.32
2025-12-05 02:26:28.595,33.629999999999995,0.422
2025-12-05 02:26:28.697,33.629999999999995,0.524
2025-12-05 02:26:28.799,33.629999999999995,0.626
2025-12-05 02:26:28.900,33.629999999999995,0.727
2025-12-05 02:26:29.002,33.629999999999995,0.829
2025-12-05 02:26:29.104,33.629999999999995,0.931
2025-12-05 02:26:29.206,33.714999999999996,1.033
2025-12-05 02:26:29.312,34.04,1.139
2025-12-05 02:26:29.416,34.28,1.243
2025-12-05 02:26:29.518,34.28,1.345
2025-12-05 02:26:29.619,34.28,1.446
2025-12-05 02:26:29.721,34.28,1.548
2025-12-05 02:26:29.823,34.28,1.65
2025-12-05 02:26:29.924,34.28,1.751
2025-12-05 02:26:30.026,34.28,1.853
2025-12-05 02:26:30.128,34.28,1.955
2025-12-05 02:26:30.230,34.285000000000004,2.057
2025-12-05 02:26:30.334,34.105000000000004,2.161
2025-12-05 02:26:30.439,33.92,2.266
2025-12-05 02:26:30.540,33.92,2.367
2025-12-05 02:26:30.642,33.92,2.469
2025-12-05 02:26:30.746,33.92,2.573
2025-12-05 02:26:30.848,33.92,2.675
2025-12-05 02:26:30.949,33.92,2.776
2025-12-05 02:26:31.052,33.92,2.879
2025-12-05 02:26:31.153,33.92,2.98
2025-12-05 02:26:31.255,33.915,3.082
2025-12-05 02:26:31.360,33.905,3.187
2025-12-05 02:26:31.464,33.9,3.291
2025-12-05 02:26:31.565,33.9,3.392
2025-12-05 02:26:31.667,33.9,3.494
2025-12-05 02:26:31.769,34.095,3.596
2025-12-05 02:26:31.873,34.29,3.7
2025-12-05 02:26:31.975,34.29,3.802
2025-12-05 02:26:32.077,34.29,3.904
2025-12-05 02:26:32.178,34.29,4.005
2025-12-05 02:26:32.280,34.29,4.107
2025-12-05 02:26:32.382,34.239999999999995,4.209
2025-12-05 02:26:32.486,34.19,4.313
2025-12-05 02:26:32.588,34.19,4.415
2025-12-05 02:26:32.689,34.19,4.516
2025-12-05 02:26:32.791,33.995,4.618
2025-12-05 02:26:32.896,33.8,4.723
2025-12-05 02:26:32.998,33.8,4.825
2025-12-05 02:26:33.099,33.8,4.926
2025-12-05 02:26:33.201,33.8,5.028
2025-12-05 02:26:33.311,33.8,5.138
2025-12-05 02:26:33.413,33.949999999999996,5.24
2025-12-05 02:26:33.517,34.099999999999994,5.344
2025-12-05 02:26:33.619,34.099999999999994,5.446
2025-12-05 02:26:33.721,34.099999999999994,5.548
2025-12-05 02:26:33.823,34.105,5.65
2025-12-05 02:26:33.927,34.11,5.754
