burn_type,count,total_loops,avg_loops,std_loops,avg_duration_s,std_duration_s
warmup,1,2304,2304.0,0.0,31.616204977035522,0.0
cooldown,1,1545,1545.0,0.0,30.668294429779053,0.0
checkpoint,0,0,0.0,0.0,0.0,0.0
total,-,3849,-,-,-,-
